link_no,from_node,to_node
1136920,496157,496156
1136926,496165,496164
1137255,496677,496676
1137508,497034,497033
1137847,497562,497561
1137938,497690,497689
1137939,497691,497690
1137959,497721,497719
1138312,498162,498161
1138313,498164,498163
1138315,498167,498166
1138473,498358,498357
1138872,498832,498831
1138937,498926,498925
1139045,499039,499038
1139046,499041,499040
1139047,499043,499042
1139136,499151,497721
1139334,499381,499380
1139598,499665,499031
1139604,499674,497379
1139651,499725,499724
1139652,499727,499726
1139654,502623,499730
1139655,502623,499731
1139657,499735,499734
1139658,499736,499733
1139722,499815,499813
1139733,499832,499831
1139929,500063,500062
1140121,500263,500262
1140201,504114,500356
1140202,504114,500357
1140218,500374,500373
1140262,501586,500417
1140264,501587,497720
1140284,500444,500442
1140338,500374,497034
1140342,500512,500511
1140404,500574,500573
1140405,500574,498831
1140423,499044,499043
1140670,500836,500835
1140671,500838,500837
1140672,500837,498162
1140756,500917,500916
1140803,499040,499039
1140804,500963,500962
1140806,500967,500966
1140809,500972,500971
1141012,501168,501167
1141013,501169,501168
1141061,501229,498926
1141169,501335,496157
1141324,501470,501469
1141325,501471,500263
1141326,501472,501469
1141327,501474,501473
1141328,502838,501471
1141329,502838,501475
1141330,502837,501470
1141331,502837,500263
1141486,501613,499674
1141545,501659,496155
1141571,501688,501687
1141831,501843,499153
1141904,501920,501919
1142009,502018,499254
1142335,502304,502303
1142336,502303,501613
1142692,500356,499731
1142693,502621,499731
1142694,502622,499730
1142695,502623,501579
1142718,502636,502635
1142719,502637,502636
1142802,502703,501919
1142803,502704,502703
1142805,502706,497561
1142806,502708,497561
1142807,502708,502707
1142808,502707,502704
1142809,499815,497562
1142810,502708,497562
1142963,502838,502837
1142987,502854,502853
1142988,502854,497033
1143207,502961,502960
1143208,502962,502961
1143293,503008,499042
1143294,503010,503009
1143361,501473,500916
1143416,503009,499041
1143691,503325,501474
1143692,503325,501469
1143693,503326,501472
1143694,503326,501473
1143699,503330,499832
1143700,503330,497629
1143853,503441,502304
1143955,503010,503008
1143982,503525,503524
1143985,503527,503525
1143989,503529,503528
1143990,503530,503526
1144014,503544,502648
1144065,503581,498925
1144101,498164,498161
1144345,502635,496165
1144349,503792,497671
1144350,503386,497691
1144822,504112,504111
1144823,504113,504111
1144824,504115,504114
1144825,504116,504115
1144826,504117,504115
1144827,504118,504111
1144828,504119,504115
1144829,504121,504120
1144830,504122,504111
1144831,504123,504111
1144902,504166,503581
1144903,504166,500917
1144904,501475,501470
1144947,504204,504203
1145195,504349,504348
1145196,504351,504350
1145197,504350,504349
1145198,501687,499151
1145199,501843,501688
1145465,504495,499381
1145531,504351,499151
1145532,504348,501843
1145773,504728,504726
1145774,504728,500357
1145775,504726,504112
1145776,504728,504727
1145777,504727,504123
1145778,504729,504728
1145779,504729,504122
1145780,504730,504120
1145781,504120,504113
1145782,504731,500357
1145783,504732,504731
1145784,504732,504730
1145785,504733,504731
1145786,504733,504121
1145787,504734,504118
1145788,504734,504117
1145789,504735,504118
1145790,504735,504119
1145791,504736,504118
1145792,504736,504116
1145793,504113,501335
1145794,501659,496156
1145998,504840,500573
1146371,505059,505058
1146779,500836,498163
1146780,505300,505297
1146781,505300,498167
1146782,505298,500835
1146783,505302,505299
1146784,505302,505300
1146785,505301,498167
1146786,505301,505298
1146787,505302,505297
1146788,505299,500835
1146798,505315,505314
1146872,505386,502853
1146874,505387,502018
1146875,505388,505386
1146876,505387,505386
1146877,505388,502018
1146887,505404,505397
1146897,505397,496155
1146899,505408,500063
1147540,503792,497689
1147627,505949,499734
1147628,502622,499735
1147629,505949,499736
1147634,502621,499727
1147635,499726,499725
1147636,505956,505954
1147637,505956,505955
1147638,505957,505956
1147639,505959,505958
1147640,505960,505954
1147641,505962,505961
1147642,505963,505962
1148657,506742,500063
1148658,506742,500062
1148659,500513,500062
1148666,506743,498162
1148667,506743,500837
1148671,505902,497720
1148672,505902,501588
1148674,501589,500417
1148686,505903,501589
1148696,506748,499042
1148697,506748,503008
1148717,506753,504113
1148718,506753,501335
1148728,506758,500836
1148729,506758,498163
1148730,506759,505301
1148731,506759,505298
1148812,506806,506805
1148865,506876,506875
1148927,506968,506967
1148929,506971,506970
1149048,507138,507137
1149144,507257,507256
1149157,507342,507265
1149158,507342,507266
1149159,507267,507266
1149160,507268,506967
1149230,507342,506971
1149231,507343,507342
1149232,507344,507268
1149233,507345,507343
1149234,506877,506871
1149327,507423,506837
1149328,507424,507423
1149329,507424,506827
1149336,507430,507137
1149340,507431,507430
1149374,507458,507457
1149998,508027,506871
1149999,508028,508027
1150000,508030,508029
1150001,508029,508028
1150002,508032,508031
1150003,508031,508030
1150035,508062,507267
1150036,508062,507320
1150037,507343,507265
1150038,508063,506968
1150231,508232,508231
1150232,508232,507457
1150233,507457,506875
1150260,507344,507265
1150275,508247,507257
